label,group,field,from,to,note,mode,model,cosine_similarity,delta,noise_p95
Control: 1%→1 %,control_surface,spacing,,,,PROJ_ref2,ada-002,0.8260639092854056,0.17393609071459437,7.771561172376096e-16
Control: 1%→1 %,control_surface,spacing,,,,PROJ_ref2,3-large,0.9427451741628423,0.057254825837157686,3.3306690738754696e-16
Control: 1%→1 %,control_surface,spacing,,,,PROJ_ref2,matbert,1.0000001192092896,-1.1920928955078125e-07,-1.1920928955078125e-07
Control: 1%→1 %,control_surface,spacing,,,,PROJ_both,ada-002,0.7899712463282773,0.2100287536717227,7.771561172376096e-16
Control: 1%→1 %,control_surface,spacing,,,,PROJ_both,3-large,0.9076151506885365,0.09238484931146351,3.3306690738754696e-16
Control: 1%→1 %,control_surface,spacing,,,,PROJ_both,matbert,1.0,0.0,-1.1920928955078125e-07
Control: 1%→1 %,control_surface,spacing,,,,DIFF_both,ada-002,0.7899928703627522,0.21000712963724777,7.771561172376096e-16
Control: 1%→1 %,control_surface,spacing,,,,DIFF_both,3-large,0.9076906489361516,0.09230935106384841,3.3306690738754696e-16
Control: 1%→1 %,control_surface,spacing,,,,DIFF_both,matbert,0.9999999403953552,5.960464477539063e-08,-1.1920928955078125e-07
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,RAW,ada-002,0.9996069960734957,0.0003930039265043206,7.771561172376096e-16
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,RAW,3-large,0.9983590763739518,0.001640923626048174,3.3306690738754696e-16
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,RAW,matbert,0.9995091557502747,0.0004908442497253418,-1.1920928955078125e-07
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,PROJ_ref1,ada-002,0.6953114249474404,0.30468857505255964,7.771561172376096e-16
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,PROJ_ref1,3-large,0.5594412507086546,0.4405587492913454,3.3306690738754696e-16
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,PROJ_ref1,matbert,0.6776001453399658,0.3223998546600342,-1.1920928955078125e-07
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,PROJ_ref2,ada-002,0.6875038540706633,0.3124961459293367,7.771561172376096e-16
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,PROJ_ref2,3-large,0.7241529224466998,0.2758470775533002,3.3306690738754696e-16
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,PROJ_ref2,matbert,0.6602622866630554,0.3397377133369446,-1.1920928955078125e-07
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,PROJ_both,ada-002,0.6415700916127342,0.35842990838726585,7.771561172376096e-16
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,PROJ_both,3-large,0.5920049143098224,0.4079950856901776,3.3306690738754696e-16
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,PROJ_both,matbert,0.6284780502319336,0.3715219497680664,-1.1920928955078125e-07
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,DIFF_both,ada-002,0.641611472316962,0.35838852768303797,7.771561172376096e-16
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,DIFF_both,3-large,0.5923885557226327,0.4076114442773673,3.3306690738754696e-16
Temp format: 644.9°C,temp_format_only,carb_temp,644.9 °C,644.9°C,,DIFF_both,matbert,0.6288776397705078,0.3711223602294922,-1.1920928955078125e-07
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,RAW,ada-002,0.9996710021945333,0.0003289978054666909,7.771561172376096e-16
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,RAW,3-large,0.9978374721957246,0.0021625278042753937,3.3306690738754696e-16
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,RAW,matbert,1.0000001192092896,-1.1920928955078125e-07,-1.1920928955078125e-07
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,PROJ_ref1,ada-002,0.7226085695214535,0.27739143047854653,7.771561172376096e-16
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,PROJ_ref1,3-large,0.4819074718959576,0.5180925281040424,3.3306690738754696e-16
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,PROJ_ref1,matbert,0.9999998807907104,1.1920928955078125e-07,-1.1920928955078125e-07
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,PROJ_ref2,ada-002,0.7179930137790085,0.2820069862209915,7.771561172376096e-16
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,PROJ_ref2,3-large,0.6833918917202575,0.3166081082797425,3.3306690738754696e-16
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,PROJ_ref2,matbert,1.0000001192092896,-1.1920928955078125e-07,-1.1920928955078125e-07
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,PROJ_both,ada-002,0.6711654149383774,0.32883458506162255,7.771561172376096e-16
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,PROJ_both,3-large,0.5385100851320277,0.4614899148679723,3.3306690738754696e-16
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,PROJ_both,matbert,1.0,0.0,-1.1920928955078125e-07
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,DIFF_both,ada-002,0.6712025545061294,0.3287974454938706,7.771561172376096e-16
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,DIFF_both,3-large,0.5389413102601733,0.46105868973982667,3.3306690738754696e-16
Temp format: 644.9 C,temp_format_only,carb_temp,644.9 °C,644.9 C,,DIFF_both,matbert,0.9999999403953552,5.960464477539063e-08,-1.1920928955078125e-07
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,RAW,ada-002,0.9999394104159893,6.058958401067294e-05,7.771561172376096e-16
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,RAW,3-large,0.9976721531977853,0.0023278468022146503,3.3306690738754696e-16
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,RAW,matbert,1.0000001192092896,-1.1920928955078125e-07,-1.1920928955078125e-07
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,PROJ_ref1,ada-002,0.9340017190028064,0.06599828099719363,7.771561172376096e-16
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,PROJ_ref1,3-large,0.6078622373189978,0.3921377626810022,3.3306690738754696e-16
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,PROJ_ref1,matbert,0.9999998807907104,1.1920928955078125e-07,-1.1920928955078125e-07
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,PROJ_ref2,ada-002,0.9302524556505067,0.06974754434949326,7.771561172376096e-16
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,PROJ_ref2,3-large,0.7836190330726095,0.2163809669273905,3.3306690738754696e-16
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,PROJ_ref2,matbert,1.0000001192092896,-1.1920928955078125e-07,-1.1920928955078125e-07
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,PROJ_both,ada-002,0.9160726667173804,0.08392733328261959,7.771561172376096e-16
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,PROJ_both,3-large,0.6890783844622833,0.3109216155377167,3.3306690738754696e-16
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,PROJ_both,matbert,1.0,0.0,-1.1920928955078125e-07
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,DIFF_both,ada-002,0.9160806355327178,0.08391936446728221,7.771561172376096e-16
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,DIFF_both,3-large,0.6893696354892067,0.3106303645107933,3.3306690738754696e-16
Temp format: 644.9 degC,temp_format_only,carb_temp,644.9 °C,644.9 degC,,DIFF_both,matbert,0.9999999403953552,5.960464477539063e-08,-1.1920928955078125e-07
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,RAW,ada-002,0.9999103311100312,8.966888996875255e-05,7.771561172376096e-16
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,RAW,3-large,0.9980455506828099,0.0019544493171901323,3.3306690738754696e-16
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,RAW,matbert,0.9995918273925781,0.000408172607421875,-1.1920928955078125e-07
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,PROJ_ref1,ada-002,0.9013607135999533,0.09863928640004671,7.771561172376096e-16
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,PROJ_ref1,3-large,0.5516943633399299,0.44830563666007006,3.3306690738754696e-16
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,PROJ_ref1,matbert,0.712700605392456,0.28729939460754395,-1.1920928955078125e-07
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,PROJ_ref2,ada-002,0.8943346918193833,0.1056653081806167,7.771561172376096e-16
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,PROJ_ref2,3-large,0.7394503142916679,0.26054968570833215,3.3306690738754696e-16
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,PROJ_ref2,matbert,0.7086571455001831,0.2913428544998169,-1.1920928955078125e-07
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,PROJ_both,ada-002,0.8732492688711591,0.12675073112884094,7.771561172376096e-16
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,PROJ_both,3-large,0.617217372778132,0.38278262722186795,3.3306690738754696e-16
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,PROJ_both,matbert,0.6732885241508484,0.3267114758491516,-1.1920928955078125e-07
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,DIFF_both,ada-002,0.8732615297520336,0.12673847024796636,7.771561172376096e-16
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,DIFF_both,3-large,0.6175896567311616,0.3824103432688384,3.3306690738754696e-16
Temp format: 644.9 degrees C,temp_format_only,carb_temp,644.9 °C,644.9 degrees C,,DIFF_both,matbert,0.673861026763916,0.326138973236084,-1.1920928955078125e-07
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,RAW,ada-002,0.999681853800752,0.0003181461992479706,7.771561172376096e-16
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,RAW,3-large,0.9977966999391019,0.0022033000608980835,3.3306690738754696e-16
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,RAW,matbert,1.0000001192092896,-1.1920928955078125e-07,-1.1920928955078125e-07
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,PROJ_ref1,ada-002,0.7334563028590795,0.2665436971409205,7.771561172376096e-16
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,PROJ_ref1,3-large,0.5140794221388327,0.48592057786116727,3.3306690738754696e-16
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,PROJ_ref1,matbert,0.9999998807907104,1.1920928955078125e-07,-1.1920928955078125e-07
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,PROJ_ref2,ada-002,0.7305873160689135,0.2694126839310865,7.771561172376096e-16
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,PROJ_ref2,3-large,0.7260290340077658,0.27397096599223425,3.3306690738754696e-16
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,PROJ_ref2,matbert,1.0000001192092896,-1.1920928955078125e-07,-1.1920928955078125e-07
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,PROJ_both,ada-002,0.6854489503448267,0.31455104965517333,7.771561172376096e-16
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,PROJ_both,3-large,0.5956321638990945,0.40436783610090554,3.3306690738754696e-16
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,PROJ_both,matbert,1.0,0.0,-1.1920928955078125e-07
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,DIFF_both,ada-002,0.6854838576534457,0.31451614234655434,7.771561172376096e-16
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,DIFF_both,3-large,0.5960316099665575,0.40396839003344254,3.3306690738754696e-16
Temp format: 644.9 Celsius,temp_format_only,carb_temp,644.9 °C,644.9 Celsius,,DIFF_both,matbert,0.9999999403953552,5.960464477539063e-08,-1.1920928955078125e-07
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,RAW,ada-002,0.9999746333367119,2.5366663288117763e-05,7.771561172376096e-16
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,RAW,3-large,0.9986993836981506,0.001300616301849411,3.3306690738754696e-16
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,RAW,matbert,0.9995498061180115,0.0004501938819885254,-1.1920928955078125e-07
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,PROJ_ref1,ada-002,0.9702988165284439,0.029701183471556147,7.771561172376096e-16
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,PROJ_ref1,3-large,0.639380094335644,0.360619905664356,3.3306690738754696e-16
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,PROJ_ref1,matbert,0.708304762840271,0.291695237159729,-1.1920928955078125e-07
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,PROJ_ref2,ada-002,0.9680680657336616,0.031931934266338446,7.771561172376096e-16
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,PROJ_ref2,3-large,0.7865526510847508,0.2134473489152492,3.3306690738754696e-16
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,PROJ_ref2,matbert,0.7042585611343384,0.2957414388656616,-1.1920928955078125e-07
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,PROJ_both,ada-002,0.9611497062446546,0.03885029375534543,7.771561172376096e-16
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,PROJ_both,3-large,0.6780657006541024,0.32193429934589757,3.3306690738754696e-16
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,PROJ_both,matbert,0.6714909076690674,0.3285090923309326,-1.1920928955078125e-07
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,DIFF_both,ada-002,0.9611530951913237,0.03884690480867625,7.771561172376096e-16
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,DIFF_both,3-large,0.6783354194107759,0.3216645805892241,3.3306690738754696e-16
Temp format: 644.9 ° C,temp_format_only,carb_temp,644.9 °C,644.9 ° C,,DIFF_both,matbert,0.6721549034118652,0.32784509658813477,-1.1920928955078125e-07
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,RAW,ada-002,0.9988211507498336,0.001178849250166425,7.771561172376096e-16
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,RAW,3-large,0.9955301820321094,0.004469817967890588,3.3306690738754696e-16
