sweep,model,value,delta
hold_time_sweep,matbert,1.5,0.0002066493034362793
hold_time_sweep,matbert,2.0,0.00018846988677978516
hold_time_sweep,matbert,2.5,0.0002129673957824707
hold_time_sweep,matbert,3.0,9.512901306152344e-05
hold_time_sweep,matbert,3.5,0.00011229515075683594
hold_time_sweep,matbert,4.0,0.00021129846572875977
hold_time_sweep,matbert,4.5,0.00019919872283935547
hold_time_sweep,matbert,5.0,0.00020694732666015625
hold_time_sweep,matbert,5.5,0.0001748800277709961
hold_time_sweep,matbert,6.0,0.00020313262939453125
hold_time_sweep,matbert,6.5,0.0001970529556274414
hold_time_sweep,matbert,7.0,0.00019240379333496094
hold_time_sweep,matbert,7.5,0.00019478797912597656
hold_time_sweep,matbert,8.0,0.0002200007438659668
hold_time_sweep,matbert,8.5,0.0002237558364868164
hold_time_sweep,matbert,9.0,0.00020647048950195312
hold_time_sweep,matbert,9.5,0.00021272897720336914
hold_time_sweep,matbert,10.0,0.00020360946655273438
hold_time_sweep,matbert,10.5,0.00020247697830200195
hold_time_sweep,matbert,11.0,0.0002116560935974121
hold_time_sweep,matbert,11.5,0.0002027750015258789
hold_time_sweep,matbert,12.0,0.0001894235610961914
hold_time_sweep,matbert,12.5,0.0001901388168334961
hold_time_sweep,matbert,13.0,0.00022274255752563477
hold_time_sweep,matbert,13.5,0.00022149085998535156
hold_time_sweep,matbert,14.0,0.0001965165138244629
hold_time_sweep,matbert,14.5,0.00018227100372314453
hold_time_sweep,matbert,15.0,0.00020635128021240234
hold_time_sweep,matbert,15.5,0.00021499395370483398
hold_time_sweep,matbert,16.0,0.000209808349609375
hold_time_sweep,matbert,16.5,0.00019729137420654297
hold_time_sweep,matbert,17.0,0.00017982721328735352
hold_time_sweep,matbert,17.5,0.00018286705017089844
hold_time_sweep,matbert,18.0,0.00017118453979492188
hold_time_sweep,matbert,18.5,0.00018513202667236328
hold_time_sweep,matbert,19.0,0.00019210577011108398
hold_time_sweep,matbert,19.5,0.0002009272575378418
hold_time_sweep,matbert,20.0,0.00018334388732910156
hold_time_sweep,matbert,20.5,0.00018668174743652344
hold_time_sweep,matbert,21.0,0.0002200603485107422
hold_time_sweep,matbert,21.5,0.00020450353622436523
hold_time_sweep,matbert,22.0,0.00020813941955566406
hold_time_sweep,matbert,22.5,0.00020039081573486328
hold_time_sweep,matbert,23.0,0.00019669532775878906
hold_time_sweep,matbert,23.5,0.00019025802612304688
hold_time_sweep,matbert,24.0,0.00018453598022460938
