sweep,model,value,delta
temperature_sweep,matbert,530,0.0006258487701416016
temperature_sweep,matbert,540,0.0006850361824035645
temperature_sweep,matbert,550,0.0007489323616027832
temperature_sweep,matbert,560,0.0006467700004577637
temperature_sweep,matbert,570,0.0007064938545227051
temperature_sweep,matbert,580,0.0006347894668579102
temperature_sweep,matbert,590,0.000680387020111084
temperature_sweep,matbert,600,0.0006392002105712891
temperature_sweep,matbert,610,0.0006525516510009766
temperature_sweep,matbert,620,0.0006349086761474609
temperature_sweep,matbert,630,0.000660240650177002
temperature_sweep,matbert,640,0.0006867051124572754
temperature_sweep,matbert,650,0.0006486177444458008
temperature_sweep,matbert,660,0.0007151961326599121
temperature_sweep,matbert,670,0.000645756721496582
temperature_sweep,matbert,680,0.0006273388862609863
temperature_sweep,matbert,690,0.0006524920463562012
temperature_sweep,matbert,700,0.0006412267684936523
temperature_sweep,matbert,710,0.0006814002990722656
temperature_sweep,matbert,720,0.0007151961326599121
temperature_sweep,matbert,730,0.0006468296051025391
temperature_sweep,matbert,740,0.0006545186042785645
temperature_sweep,matbert,750,0.0006638765335083008
temperature_sweep,matbert,760,0.0006878376007080078
temperature_sweep,matbert,770,0.000698089599609375
temperature_sweep,matbert,780,0.0006781220436096191
temperature_sweep,matbert,790,0.0006629824638366699
temperature_sweep,matbert,800,0.0006836652755737305
temperature_sweep,matbert,810,0.0006642937660217285
temperature_sweep,matbert,820,0.0006939172744750977
temperature_sweep,matbert,830,0.0006408095359802246
temperature_sweep,matbert,840,0.0006579160690307617
temperature_sweep,matbert,850,0.0006859302520751953
temperature_sweep,matbert,860,0.0007065534591674805
temperature_sweep,matbert,870,0.0006786584854125977
temperature_sweep,matbert,880,0.000677943229675293
temperature_sweep,matbert,890,0.0007010698318481445
temperature_sweep,matbert,900,0.0006437301635742188
